Comparison,Statistic,p-value,Significant?
Black vs White,104.45,0.0000,Yes
Asian or Pacific Islander vs White,15.55,0.0001,Yes
Hispanic vs White,14.82,0.0001,Yes
American Indian/Alaska Native vs White,1.11,0.2926,No
